[14:21:12] 📍 Loaded 754 district venues
[14:21:12] 🚀 DISTRICT SCRAPER STARTED
[14:21:12] ⚠ 1102215 → NO DEBUG
[14:21:12] ⚠ 1102175 → NO DEBUG
[14:21:12] ⚠ 1102183 → NO DEBUG
[14:21:12] ⚠ 1086677 → NO DEBUG
[14:21:12] ⚠ 1102233 → NO DEBUG
[14:21:12] ⚠ 1583 → NO DEBUG
[14:21:12] ⚠ 1068240 → NO DEBUG
[14:21:12] ⚠ 1102100 → NO DEBUG
[14:21:12] ⚠ 1067161 → NO DEBUG
[14:21:12] ⚠ 1102119 → NO DEBUG
[14:21:12] ⚠ 61879 → NO DEBUG
[14:21:12] ⚠ 1102103 → NO DEBUG
[14:21:12] ⚠ 1102098 → NO DEBUG
[14:21:12] ⚠ 1102289 → NO DEBUG
[14:21:12] ⚠ 1102096 → NO DEBUG
[14:21:12] ⚠ 1068270 → NO DEBUG
[14:21:12] ⚠ 1101397 → NO DEBUG
[14:21:12] ⚠ 1100725 → NO DEBUG
[14:21:12] ⚠ 1096456 → NO DEBUG
[14:21:12] ⚠ 51512 → NO DEBUG
[14:21:12] ⚠ 1102127 → NO DEBUG
[14:21:12] ⚠ 1020401 → NO DEBUG
[14:21:12] ⚠ 1101584 → NO DEBUG
[14:21:12] ⚠ 1044502 → NO DEBUG
[14:21:12] ⚠ 1102097 → NO DEBUG
[14:21:12] ⚠ 1101483 → NO DEBUG
[14:21:12] ⚠ 1102311 → NO DEBUG
[14:21:12] ⚠ 1082714 → NO DEBUG
[14:21:12] ⚠ 1102304 → NO DEBUG
[14:21:12] ⚠ 1101355 → NO DEBUG
[14:21:12] ⚠ 20856 → NO DEBUG
[14:21:12] ⚠ 1102244 → NO DEBUG
[14:21:12] ⚠ 1102076 → NO DEBUG
[14:21:12] ⚠ 1096734 → NO DEBUG
[14:21:12] ⚠ 1096482 → NO DEBUG
[14:21:12] ⚠ 4430 → NO DEBUG
[14:21:12] ⚠ 1096475 → NO DEBUG
[14:21:12] ⚠ 539 → NO DEBUG
[14:21:12] ⚠ 1101450 → NO DEBUG
[14:21:12] ⚠ 1102280 → NO DEBUG
[14:21:12] ⚠ 1095290 → NO DEBUG
[14:21:12] ⚠ 9508 → NO DEBUG
[14:21:12] ⚠ 7854 → NO DEBUG
[14:21:12] ⚠ 1096524 → NO DEBUG
[14:21:12] ⚠ 1102186 → NO DEBUG
[14:21:12] ⚠ 1102272 → NO DEBUG
[14:21:12] ⚠ 1094756 → NO DEBUG
[14:21:12] ⚠ 1102176 → NO DEBUG
[14:21:12] ⚠ 1101471 → NO DEBUG
[14:21:12] ⚠ 1102095 → NO DEBUG
[14:21:12] ⚠ 9736 → NO DEBUG
[14:21:12] ⚠ 1102173 → NO DEBUG
[14:21:12] ⚠ 1101451 → NO DEBUG
[14:21:12] ⚠ 1011906 → NO DEBUG
[14:21:12] ⚠ 1102094 → NO DEBUG
[14:21:12] ⚠ 1102090 → NO DEBUG
